"column","variable","label","value_labels","class","type","n_na","range"
"279","mrivas_e2_04_like","Markers Large - Like","NULL","numeric","double","4","c(0, 100)"
"280","mrivas_e2_05_like","Notebook Large - Like","NULL","numeric","double","4","c(0, 100)"
"281","mrivas_e2_06_like","Notepad Large - Like","NULL","numeric","double","4","c(0, 100)"
"282","mrivas_e3_01_like","Padlock Large - Like","NULL","numeric","double","4","c(0, 100)"
"283","mrivas_e3_02_like","Paintbrush Large - Like","NULL","numeric","double","4","c(0, 100)"
"284","mrivas_e3_03_like","Paint Large - Like","NULL","numeric","double","4","c(0, 100)"
"285","mrivas_e3_04_like","Green Paperclips Large - Like","NULL","numeric","double","4","c(0, 100)"
"286","mrivas_e3_05_like","Pens Large - Like","NULL","numeric","double","4","c(0, 100)"
"287","mrivas_e3_06_like","Pencils Large - Like","NULL","numeric","double","4","c(0, 100)"
"288","mrivas_e4_01_like","Post It Notes Large - Like","NULL","numeric","double","4","c(0, 100)"
"289","mrivas_e4_02_like","Post It Note Tape Large - Like","NULL","numeric","double","4","c(0, 100)"
"290","mrivas_e4_03_like","Pushpins Large - Like","NULL","numeric","double","4","c(0, 100)"
"291","mrivas_e4_04_like","Rope Large - Like","NULL","numeric","double","4","c(0, 100)"
"292","mrivas_e4_05_like","Rubber Bands Large - Like","NULL","numeric","double","4","c(0, 100)"
"293","mrivas_e4_06_like","Rulers Large - Like","NULL","numeric","double","4","c(0, 100)"
"294","mrivas_e5_01_like","Sharpies Brown Large - Like","NULL","numeric","double","4","c(0, 100)"
"295","mrivas_e5_02_like","Sharpies Yellow Large - Like","NULL","numeric","double","4","c(0, 100)"
"296","mrivas_e5_03_like","Stapler Large - Like","NULL","numeric","double","4","c(0, 100)"
"297","mrivas_e5_04_like","Staples Large - Like","NULL","numeric","double","4","c(0, 100)"
"298","mrivas_e5_05_like","Tab Divider Large - Like","NULL","numeric","double","4","c(0, 100)"
"299","mrivas_e5_06_like","Thumbtacks Large - Like","NULL","numeric","double","4","c(0, 100)"
"300","mrivas_f1_01_like","Padlock Small - Like","NULL","numeric","double","4","c(0, 100)"
"301","mrivas_f1_02_like","Paintbrush Small - Like","NULL","numeric","double","4","c(0, 100)"
"302","mrivas_f1_03_like","Paints Small - Like","NULL","numeric","double","4","c(0, 100)"
"303","mrivas_f1_04_like","Green Paperclips Small - Like","NULL","numeric","double","4","c(0, 100)"
"304","mrivas_f1_05_like","Pens Small - Like","NULL","numeric","double","4","c(0, 100)"
"305","mrivas_f1_06_like","Pencils Small - Like","NULL","numeric","double","4","c(0, 100)"
"306","mrivas_f2_01_like","Post It Notes Small - Like","NULL","numeric","double","4","c(0, 100)"
"307","mrivas_f2_02_like","Post It Note Tape Small - Like","NULL","numeric","double","4","c(0, 100)"
"308","mrivas_f2_03_like","Pushpins Small - Like","NULL","numeric","double","4","c(0, 100)"
"309","mrivas_f2_04_like","Rope Small - Like","NULL","numeric","double","4","c(0, 100)"
"310","mrivas_f2_05_like","Rubber Bands Small - Like","NULL","numeric","double","4","c(0, 100)"
"311","mrivas_f2_06_like","Ruler Small - Like","NULL","numeric","double","4","c(0, 100)"
"312","mrivas_f3_01_like","Sharpies Brown Small - Like","NULL","numeric","double","4","c(0, 100)"
"313","mrivas_f3_02_like","Sharpies Yellow Small - Like","NULL","numeric","double","4","c(0, 100)"
"314","mrivas_f3_03_like","Stapler Small - Like","NULL","numeric","double","4","c(0, 100)"
"315","mrivas_f3_04_like","Staples Small - Like","NULL","numeric","double","4","c(0, 100)"
"316","mrivas_f3_05_like","Tab Divider Small - Like","NULL","numeric","double","4","c(0, 100)"
"317","mrivas_f3_06_like","Thumbtacks Small - Like","NULL","numeric","double","4","c(0, 100)"
"318","mrivas_f4_01_like","Binder Clips Small - Like","NULL","numeric","double","4","c(0, 100)"
"319","mrivas_f4_02_like","Calculator Small - Like","NULL","numeric","double","4","c(0, 100)"
"320","mrivas_f4_03_like","Chalk Small - Like","NULL","numeric","double","4","c(0, 100)"
"321","mrivas_f4_04_like","Coin Roll Small - Like","NULL","numeric","double","4","c(0, 100)"
"322","mrivas_f4_05_like","Compass Small - Like","NULL","numeric","double","4","c(0, 100)"
"323","mrivas_f4_06_like","Craft Scissors Small - Like","NULL","numeric","double","4","c(0, 100)"
"324","mrivas_f5_01_like","Yellow Paperclips Small - Like","NULL","numeric","double","4","c(0, 100)"
"325","mrivas_f5_02_like","Erasers Small - Like","NULL","numeric","double","4","c(0, 100)"
"326","mrivas_f5_03_like","Index Cards Small - Like","NULL","numeric","double","4","c(0, 100)"
"327","mrivas_f5_04_like","Markers Small - Like","NULL","numeric","double","4","c(0, 100)"
"328","mrivas_f5_05_like","Notebook Small - Like","NULL","numeric","double","4","c(0, 100)"
"329","mrivas_f5_06_like","Notepad Small - Like","NULL","numeric","double","4","c(0, 100)"
"330","dg_foodchoice","Delay Discounting favorite food","c(`M&Ms` = 1, `Animal Crackers` = 2, Pretzels = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 3)"
"331","dg_foodchoice2","Delay Discounting second favorite food","c(`M&Ms` = 1, `Animal Crackers` = 2, Pretzels = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 3)"
"332","dg_foodchoice_amount","Delay Discounting favorite food pile choice 1","c(`Small pile` = 1, `Big pile` = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 2)"
"333","dg_foodchoice_amount2","Delay Discounting favorite food pile choice 2","c(`Small pile` = 1, `Big pile` = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","85","c(1, 2)"
"334","dg_foodchoice2_amount","Delay Discounting second favorite food pile choice 1","c(`Small pile` = 1, `Big pile` = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","88","c(2, 2)"
"335","dg_foodchoice2_amount2","Delay Discounting second favorite food pile choice 2","c(`Small pile` = 1, `Big pile` = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","89","NULL"
"336","dg_wait","Delayed Gratification Score","c(`Successfully Waited` = 0, `Rang Bell, Did NOT Eat` = 1, `Ate Without Ringing Bell` = 2, `Ate, did NOT understand task` = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(0, 2)"
"337","notes_mri_mprage","notes about MRI: mprage scan","NULL","character","character","0","c("""", ""visible ringing, but wasn't horrible (quality seemed sufficient for alignment). decided not to repeat at end bc child was getting more wiggly as scans progressed"")"
"338","notes_mri_restingstate","notes about MRI: resting state scan","NULL","character","character","0","c("""", ""tech could not get pulse ox to work"")"
"339","notes_mri_run1","notes about MRI: food cue task - run1","NULL","character","character","0","c("""", ""when explaining instructions for responding to each food image, tech said \""like\"" instead of \""want\"", but then corrected herself"")"
"340","notes_mri_run2","notes about MRI: food cue task - run2","NULL","character","character","0","c("""", ""started to cry when we checked in, so we pulled him out of the scanner"")"
"341","notes_mri_run3","notes about MRI: food cue task - run3","NULL","character","character","0","c("""", ""scanner was still running when 'good work' screen appeared"")"
"342","notes_mri_run4","notes about MRI: food cue task - run4","NULL","character","character","0","c("""", ""wiggly during scans 1-3; gave reminder to be still before run 4"")"
"343","notes_mri_run5","notes about MRI: food cue task - run5","NULL","character","character","0","c("""", ""Slight movement on this run"")"
"344","childnotes","If you have notes about the MRI scan, type them in the boxes below.  Make sure to include if you partially completed any runs, had to repeat any scans, or have any concerns about the position of the child's head in the scanner. - Other notes","NULL","character","character","0","c("""", ""wiggled feet between runs"")"
"345","fastv5","Parent Reported: Fasting:  Has child fasted for past 3 hours?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 1)"
"346","update1","Parent Reported: Updates - Have there been any changes in your child medical history since your last visit, including any medical, psychological, or learning disability diagnoses?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 0)"
"347","update2","Parent Reported: Updates - Have there been any changes in your child prescription or over the counter medications since your last visit?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 1)"
"348","update3","Parent Reported: Updates - Have there been any changes in your child dental work, including braces or retainers, since your last visit? -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","29","c(0, 0)"
"349","update4","Parent Reported: Updates - Has your child acquired any new piercings since your last visit?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 0)"
"350","update5","Parent Reported: Updates - Has your child experienced a cold, flu, or any other illnesses in the past week?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 1)"
"351","update6","Parent Reported: Updates - Have you noticed any changes in your child dietary habits or appetite in the past 24 hours?  This could include eating more or less than he/she normally does, eating a food he/she normally doesn't, or refusing to eat a food he/she normally eats.","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 1)"
"352","update7","Parent Reported: Updates - Are there any changes to your preferred contact information (address, email or phone number) since your last visit?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 1)"
"353","update8","Parent Reported: Updates - Does your family have any plans to move more than an hour away from State College in the next year?","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","28","c(0, 0)"
"354","update1detail","Parent Reported: changes in medical history detail","NULL","character","character","28","c("" none"", ""There are none."")"
"355","update2detail","Parent Reported: changes in medications detail","NULL","character","character","28","c(""My child was recently prescribed albuterol for his dust mite allergy. He has not used it yet, but we do have it filled."", ""There are none."")"
"356","update3detail","Parent Reported: changes in dental work","NULL","character","character","28","c(""He had a cavity and just got it fixed."", ""There are none."")"
"357","update5detail","Parent Reported: illnesses","NULL","character","character","28","c(""24 hour stomach flu on Sunday 10/20"", ""This past week she hasn't had any illnesses."")"
"358","update6detail","Parent Reported: dietary or appetite changes","NULL","character","character","28","c(""appetite has been the same as always"", ""There were none."")"
"359","update7detail","Parent Reported: contact information","NULL","character","character","28","c(""2457 Saratoga Drive, State College, PA\n517-648-6800"", ""we will be at the same address and have the same contact information"")"
"360","update8detail","Parent Reported: moving","NULL","character","character","28","c(""n/a"", ""will still be in the same place next year"")"
